stage	type	level	num
early	up	1.0	1
early	up	2.67	3
early	down	0.5	1
early	down	0.33	1
early	down	0.88	1
early	up	0.83	1
early	up	1.0	1
early	down	1.0	1
early	down	0.31	1
early	up	0.6	1
early	up	0.75	2
early	up	1.32	2
early	down	1.0	1
early	up	1.0	1
early	up	0.83	1
early	down	1.0	1
early	up	0.51	1
early	up	0.33	1
early	down	1.0	1
early	up	0.2	1
early	down	0.33	1
early	up	4.53	5
early	down	0.85	1
early	down	0.83	1
early	down	1.0	1
early	down	1.28	2
early	up	3.0	3
early	down	0.66	2
early	down	1.0	1
early	down	0.93	1
early	down	0.4	1
early	up	1.0	1
